month,u_gasoline_sum,u_diesel_sum,gasoline_price_base,diesel_price_base,cpi_yoy,cpi_target,x_gasoline,x_diesel,cpi_hat_next,inflation_excess,deflation_gap,Lpi_inflation,Lpi_deflation,Lpi_raw,Lpi_winsorized,Lpi
2020-05-01,0.0,0.0,6991.952224570018,6068.7911499885495,0.024,0.035,0.0,0.0,0.022256717079975244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,120.0,110.0,6991.952224570018,6068.7911499885495,0.025,0.035,0.017162588665625443,0.018125520763753344,0.02440555510312463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,100.0,100.0,7111.952224570018,6178.7911499885495,0.027,0.035,0.014060836861997607,0.016184395551253634,0.025774713674956557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,7211.952224570018,6278.7911499885495,0.024,0.035,0.0,0.0,0.022256717079975244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,-287.01100001622166,-275.28509755529114,7211.952224570018,6278.7911499885495,0.017,0.035,0.0,0.0,0.015743016777795642,0.0,0.004256983222204358,0.0,0.12667504653079137,0.12667504653079137,0.12667504653079137,0.10998014826481192
2020-10-01,0.0,0.0,6924.941224553797,6003.506052433258,0.005,0.035,0.0,0.0,0.004576673402630618,0.0,0.015423326597369382,0.0,1.6628125959336988,1.6628125959336988,1.6628125959336988,1.4436653535622153
2020-11-01,-3.724614613807887,-2.3074157242114666,6924.941224553797,6003.506052433258,-0.005,0.035,0.0,0.0,-0.004728612743340238,0.0,0.02472861274334024,0.0,4.274513591669845,4.274513591669845,2.810768220519442,2.4403283369278954
2020-12-01,368.47938451594973,355.18510907397126,6921.216609939989,6001.198636709047,0.002,0.035,0.053239105966825774,0.05918569448798459,0.004961818897562642,0.0,0.015038181102437358,0.0,1.5808032378087218,1.5808032378087218,1.5808032378087218,1.3724642637446194
2021-01-01,323.45408745853877,311.17716304451665,7289.6959944559385,6356.383745783018,-0.003,0.03,0.044371409686293724,0.048955062420666356,-0.00014412630046520313,0.0,0.020144126300465203,0.0,2.836508353556639,2.836508353556639,2.810768220519442,2.4403283369278954
2021-03-01,406.2066286081987,390.6116730024964,7613.150081914478,6667.560908827534,0.004,0.03,0.05335592024819902,0.05858389272235145,0.006978802596897677,0.0,0.013021197403102324,0.0,1.1851929003797244,1.1851929003797244,1.1851929003797244,1.0289926427970995
