variable,x_value,alpha_target,f_gasoline,S_gasoline_lag,prev_u_gasoline,alpha_fitted,residual
S_gasoline_lag,25.873989640288933,0.96,-196.63216233755864,25.873989640288933,0.0,0.963614815155058,0.0036148151550580154
S_gasoline_lag,26.622284244631278,0.96,-196.63216233755864,26.622284244631278,0.0,0.9623753457851926,0.0023753457851926063
S_gasoline_lag,27.370578848973626,0.96,-196.63216233755864,27.370578848973626,0.0,0.961135876415327,0.0011358764153270862
S_gasoline_lag,28.118873453315963,0.96,-196.63216233755864,28.118873453315963,0.0,0.9598964070454616,-0.00010359295453832296
S_gasoline_lag,28.867168057658304,0.96,-196.63216233755864,28.867168057658304,0.0,0.9586569376755962,-0.001343062324403732
S_gasoline_lag,29.61546266200065,0.96,-196.63216233755864,29.61546266200065,0.0,0.9574174683057308,-0.002582531694269141
S_gasoline_lag,30.363757266342997,0.96,-196.63216233755864,30.363757266342997,0.0,0.9561779989358653,-0.0038220010641346613
S_gasoline_lag,31.11205187068533,0.95,-196.63216233755864,31.11205187068533,0.0,0.9549385295659999,0.004938529565999938
S_gasoline_lag,31.860346475027683,0.95,-196.63216233755864,31.860346475027683,0.0,0.9536990601961345,0.0036990601961345293
S_gasoline_lag,32.608641079370024,0.95,-196.63216233755864,32.608641079370024,0.0,0.952459590826269,0.002459590826269009
S_gasoline_lag,33.35693568371237,0.95,-196.63216233755864,33.35693568371237,0.0,0.9512201214564036,0.0012201214564036
S_gasoline_lag,34.10523028805471,0.95,-196.63216233755864,34.10523028805471,0.0,0.9499806520865381,-1.9347913461809085e-05
S_gasoline_lag,34.853524892397054,0.95,-196.63216233755864,34.853524892397054,0.0,0.9487411827166727,-0.0012588172833272182
S_gasoline_lag,35.6018194967394,0.95,-196.63216233755864,35.6018194967394,0.0,0.9475017133468072,-0.0024982866531927383
S_gasoline_lag,36.35011410108174,0.95,-196.63216233755864,36.35011410108174,0.0,0.9462622439769418,-0.0037377560230581475
S_gasoline_lag,37.098408705424085,0.95,-196.63216233755864,37.098408705424085,0.0,0.9450227746070764,-0.004977225392923557
S_gasoline_lag,37.84670330976643,0.94,-196.63216233755864,37.84670330976643,0.0,0.9437833052372109,0.003783305237210932
S_gasoline_lag,38.59499791410877,0.94,-196.63216233755864,38.59499791410877,0.0,0.9425438358673455,0.002543835867345523
S_gasoline_lag,39.34329251845112,0.94,-196.63216233755864,39.34329251845112,0.0,0.9413043664974801,0.001304366497480114
S_gasoline_lag,40.09158712279346,0.94,-196.63216233755864,40.09158712279346,0.0,0.9400648971276147,6.489712761470479e-05
prev_u_gasoline,-393.4071035992978,1.0,-196.63216233755864,15.25615638306887,-393.4071035992978,1.0,0.0
prev_u_gasoline,-384.393938626157,1.0,-196.63216233755864,15.25615638306887,-384.393938626157,1.0,0.0
prev_u_gasoline,-375.38077365301626,1.0,-196.63216233755864,15.25615638306887,-375.38077365301626,1.0,0.0
prev_u_gasoline,-366.3676086798755,1.0,-196.63216233755864,15.25615638306887,-366.3676086798755,1.0,0.0
prev_u_gasoline,-357.3544437067347,1.0,-196.63216233755864,15.25615638306887,-357.3544437067347,1.0,0.0
prev_u_gasoline,-348.3412787335939,1.0,-196.63216233755864,15.25615638306887,-348.3412787335939,1.0,0.0
prev_u_gasoline,-339.3281137604532,1.0,-196.63216233755864,15.25615638306887,-339.3281137604532,1.0,0.0
prev_u_gasoline,-330.3149487873124,1.0,-196.63216233755864,15.25615638306887,-330.3149487873124,1.0,0.0
prev_u_gasoline,-321.30178381417164,1.0,-196.63216233755864,15.25615638306887,-321.30178381417164,1.0,0.0
prev_u_gasoline,-312.2886188410308,1.0,-196.63216233755864,15.25615638306887,-312.2886188410308,1.0,0.0
prev_u_gasoline,-303.27545386789006,1.0,-196.63216233755864,15.25615638306887,-303.27545386789006,1.0,0.0
prev_u_gasoline,-294.2622888947493,1.0,-196.63216233755864,15.25615638306887,-294.2622888947493,1.0,0.0
prev_u_gasoline,-285.24912392160854,1.0,-196.63216233755864,15.25615638306887,-285.24912392160854,1.0,0.0
prev_u_gasoline,-276.2359589484678,1.0,-196.63216233755864,15.25615638306887,-276.2359589484678,1.0,0.0
prev_u_gasoline,-267.222793975327,1.0,-196.63216233755864,15.25615638306887,-267.222793975327,1.0,0.0
prev_u_gasoline,-258.20962900218626,1.0,-196.63216233755864,15.25615638306887,-258.20962900218626,1.0,0.0
prev_u_gasoline,-249.19646402904547,1.0,-196.63216233755864,15.25615638306887,-249.19646402904547,1.0,0.0
prev_u_gasoline,-240.1832990559047,1.0,-196.63216233755864,15.25615638306887,-240.1832990559047,1.0,0.0
prev_u_gasoline,-231.17013408276392,1.0,-196.63216233755864,15.25615638306887,-231.17013408276392,1.0,0.0
