scenario,variable,variable_label,x_value,alpha_gasoline,alpha_diesel,u_gasoline,u_diesel,LC,LF,LV,LT,Lpi,LE,weighted_loss,base_f_gasoline,base_f_diesel
upward_base,f_gasoline,gasoline f,238.8554062646689,0.9,0.91,214.969865638202,146.7296285205385,0.5368232670056614,0.10210902078370708,0.46807820996318256,0.046568915875371604,0.00011627521443005476,0.0,0.1922826148070587,238.8554062646689,161.24135002256978
upward_base,f_gasoline,gasoline f,248.35869837826203,0.9,0.91,223.52282854043582,146.7296285205385,0.5613982809800008,0.10499690115027176,0.49104076420807274,0.04906125700306616,0.0,0.0,0.20108286722356847,248.35869837826203,161.24135002256978
upward_base,f_gasoline,gasoline f,257.86199049185507,0.9,0.91,232.07579144266955,146.7296285205385,0.5869319845089661,0.10796310445975539,0.5148991047554686,0.05165082620998696,0.0,0.0,0.2102408366556961,257.86199049185507,161.24135002256978
upward_base,f_gasoline,gasoline f,267.3652826054482,0.9,0.91,240.6287543449034,146.7296285205385,0.6134243775925573,0.11100763071215819,0.5396532316053707,0.05433762349613409,0.0,0.0,0.21973714390103663,267.3652826054482,161.24135002256978
upward_base,f_gasoline,gasoline f,276.86857471904125,0.9,0.91,249.18171724713713,146.7296285205385,0.6408754602307739,0.11413047990748013,0.5653031447577784,0.05712164886150752,0.0,0.0,0.2295717889595899,276.86857471904125,161.24135002256978
upward_base,f_gasoline,gasoline f,286.3718668326344,0.9,0.91,257.73468014937094,146.7296285205385,0.6692852324236168,0.11733165204572131,0.5918488442126923,0.0600029023061074,0.0,0.0,0.2397447718313562,286.3718668326344,161.24135002256978
upward_base,f_gasoline,gasoline f,295.87515894622754,0.9,0.91,266.2876430516048,146.7296285205385,0.6986536941710855,0.12061114712688155,0.6192903299701124,0.0629813838299335,0.0,0.0,0.25025609251633535,295.87515894622754,161.24135002256978
upward_base,f_gasoline,gasoline f,305.3784510598206,0.9,0.91,274.8406059538385,146.7296285205385,0.72898084547318,0.12396896515096092,0.6476276020300379,0.06605709343298591,0.0,0.0,0.2611057510145274,305.3784510598206,161.24135002256978
upward_base,f_gasoline,gasoline f,314.8817431734137,0.9,0.91,283.39356885607236,146.7296285205385,0.7602666863299005,0.12740510611795947,0.6768606603924698,0.06923003111526466,0.0,0.0,0.2722937473259323,314.8817431734137,161.24135002256978
upward_base,f_gasoline,gasoline f,324.38503528700676,0.9,0.91,291.9465317583061,146.7296285205385,0.7925112167412462,0.13091957002787716,0.7069895050574073,0.07250019687676973,0.0,0.0,0.28382008145054993,324.38503528700676,161.24135002256978
