month,u_gasoline_sum,u_diesel_sum,gasoline_price_base,diesel_price_base,cpi_yoy,cpi_target,x_gasoline,x_diesel,cpi_hat_next,inflation_excess,deflation_gap,Lpi_inflation,Lpi_deflation,Lpi_raw,Lpi_winsorized,Lpi,mechanism,mechanism_label
2017-09-01,305.0,290.0,7725.0,6740.0,0.016,0.03,0.039482200647249194,0.04302670623145401,0.017344558940225227,0.0,0.0026554410597747734,0.0,0.04929019405285494,0.04929019405285494,0.04929019405285494,0.04279408611558432,current,Current mechanism
2017-10-01,0.0,0.0,8030.0,7030.0,0.019,0.03,0.0,0.0,0.017604074006989812,0.0,0.002395925993010188,0.0,0.04012675069641679,0.04012675069641679,0.04012675069641679,0.0348383214519234,current,Current mechanism
2017-11-01,415.0,400.0,8030.0,7030.0,0.017,0.03,0.051681195516811954,0.05689900426742532,0.01893973169382164,0.0,0.00106026830617836,0.0,0.007858121773113203,0.007858121773113203,0.007858121773113203,0.006822475470572363,current,Current mechanism
2017-12-01,70.0,70.0,8445.0,7430.0,0.018,0.03,0.008288928359976317,0.009421265141318977,0.01712609859618874,0.0,0.0028739014038112604,0.0,0.057733903834910304,0.057733903834910304,0.057733903834910304,0.05012497313057164,current,Current mechanism
2018-01-01,245.0,235.0,8515.0,7500.0,0.015,0.03,0.028772753963593658,0.03133333333333333,0.015731790806113914,0.0,0.004268209193886086,0.0,0.12734402990969595,0.12734402990969595,0.12734402990969595,0.11056096424407219,current,Current mechanism
2018-02-01,-170.0,-160.0,8760.0,7735.0,0.0289999999999999,0.03,0.0,0.0,0.02690936015296058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2018-03-01,-20.0,-20.0,8590.0,7575.0,0.021,0.03,0.0,0.0,0.019465131236183986,0.0,0.0005348687638160148,0.0,0.001999777452359301,0.001999777452359301,0.001999777452359301,0.0017362205638001733,current,Current mechanism
2018-04-01,310.0,295.0,8570.0,7555.0,0.018,0.03,0.03617269544924154,0.039046988749172735,0.01906932939610871,0.0,0.0009306706038912892,0.0,0.006054512616248638,0.006054512616248638,0.006054512616248638,0.005256569572637517,current,Current mechanism
2018-05-01,355.0,350.0,8880.0,7850.0,0.018,0.03,0.03997747747747748,0.044585987261146494,0.019029815317562704,0.0,0.0009701846824372966,0.0,0.006579547439468989,0.006579547439468989,0.006579547439468989,0.005712408423961149,current,Current mechanism
2018-06-01,-185.0,-180.0,9235.0,8200.0,0.019,0.03,0.0,0.0,0.017604074006989812,0.0,0.002395925993010188,0.0,0.04012675069641679,0.04012675069641679,0.04012675069641679,0.0348383214519234,current,Current mechanism
