mechanism,mechanism_label,date,month,u_gasoline,u_diesel,f_gasoline,f_diesel,price_gasoline,price_diesel,S_gasoline,S_diesel,LC,LC_raw,consumer_increase_loss,consumer_decrease_reward,LF,LF_raw,LV,LV_raw,LT,LT_raw,price_gap_g,energy_A,LE,LE_raw,cpi_yoy,cpi_target,gasoline_price_before,diesel_price_before,omega_gasoline,omega_diesel,weighted_adjustment,weighted_abs_adjustment,weighted_abs_transmission_gap,Lpi,Lpi_contribution,weighted_event_loss
current,Current mechanism,2017-01-26,2017-01-01,-70.0,-70.0,0.0,0.0,8080.0,7080.0,-4.357111876845792,-3.0612896718125313,-0.09827502930649577,-8.659018636636984e-05,0.0,8.659018636636984e-05,0.0,0.0,0.16341674190220007,0.0783233762975929,0.6335342664654008,0.03559508372331776,0.00924784384202268,0.002943430718273008,0.0,0.0,0.025,0.03,8150.0,7150.0,0.4193319649188281,0.5806680350811718,-70.0,70.0,70.0,0.0,0.0,0.11644599651018413
current,Current mechanism,2017-02-15,2017-02-01,50.0,50.0,0.0,0.0,8130.0,7130.0,-53.04997831379205,-52.14290277026877,0.05109245412901283,4.501759150993201e-05,4.501759150993201e-05,0.0,0.0,0.0,0.11066986097976528,0.05304252835678247,0.32323176860479635,0.018160757001692736,0.0,0.0020604015027911055,0.0,0.0,0.008,0.03,8080.0,7080.0,0.4193319649188281,0.5806680350811718,50.0,50.0,50.0,0.9181237337221252,0.0,0.08083234728559571
current,Current mechanism,2017-02-28,2017-02-01,0.0,0.0,55.95744290787435,54.20873342834283,8130.0,7130.0,18.822458088219918,17.7087014891547,0.0,0.0,0.0,0.0,0.036420314819798835,0.008946222774407889,0.015507938780768752,0.007432739819602489,0.38992305768282026,0.02190780296906014,0.0072251503951901675,0.0014422810519537739,0.0,0.0,0.008,0.03,8130.0,7130.0,0.4193319649188281,0.5806680350811718,0.0,0.0,54.942023210466964,0.9181237337221252,0.9181237337221252,0.22666250750091876
current,Current mechanism,2017-03-15,2017-03-01,-85.0,-85.0,-92.1522928416,-88.5277026118767,8045.0,7045.0,6.023427820153941,8.868388430531581,-0.14568378632563653,-0.0001283620701770827,0.0,0.0001283620701770827,0.006938985242865421,0.0017044802637800418,0.10650248918775439,0.05104516489672166,0.003615425704270102,0.00020313247041382816,0.0,0.0010095967363676418,0.0,0.0,0.009,0.03,8130.0,7130.0,0.4193319649188281,0.5806680350811718,-85.0,85.0,5.047609154932162,0.8309447147640195,0.0,-0.004771147698457771
current,Current mechanism,2017-03-29,2017-03-01,-230.0,-220.0,-255.78305247850017,-245.73197337236635,7815.0,6825.0,-21.566653004392407,-19.524101470994253,-1.0316545586638037,-0.0009089914409672853,0.0,0.0009089914409672853,0.0,0.0,0.5485689843758593,0.2629215005043516,0.08574554188060737,0.004817607986967749,0.0,0.0007067177154573492,0.0,0.0,0.009,0.03,8045.0,7045.0,0.4193319649188281,0.5806680350811718,-224.19331964918825,224.19331964918825,25.753392474307745,0.8309447147640195,0.8309447147640195,0.07226744705944704
current,Current mechanism,2017-04-13,2017-04-01,200.0,190.0,208.8070437545205,200.8545240851358,8015.0,7015.0,-6.289613348554184,-2.8123469445601756,0.8225838561462103,0.0007247791214951031,0.0007247791214951031,0.0,0.0,0.0,1.4060684277529756,0.6739090822956768,0.013153114122478899,0.0007390069064836585,0.0013432291125270333,0.031180987065309845,0.0,0.0,0.012,0.03,7815.0,6825.0,0.4183024827089913,0.5816975172910087,194.18302482708992,194.18302482708992,9.998057979541594,0.31970972382624074,0.0,0.37363423300361065
current,Current mechanism,2017-04-26,2017-04-01,0.0,0.0,0.0,0.0,8015.0,7015.0,-4.402729343987929,-1.9686428611921227,0.0,0.0,0.0,0.0,0.0,0.0,0.23364532005583247,0.11198295908907804,0.0,0.0,0.0,0.05251297561020659,0.05282731185857874,0.0003110515166178488,0.012,0.03,8015.0,7015.0,0.4183024827089913,0.5816975172910087,0.0,0.0,0.0,0.31970972382624074,0.31970972382624074,0.10103039262344196
current,Current mechanism,2017-05-12,2017-05-01,-250.0,-235.0,-251.0601937443805,-241.06606638193543,7765.0,6780.0,-4.142104285172053,-7.444116384769927,-1.2018716939097784,-0.001058969859368269,0.0,0.001058969859368269,0.0,0.0,0.8571133314609406,0.4108025237088326,0.002888064158772393,0.00016226570679966662,0.0,0.03675908292714461,0.0006020271792153449,3.544785084681319e-06,0.015,0.03,8015.0,7015.0,0.4236417592451681,0.5763582407548319,-241.3546263886775,241.3546263886775,3.945369691204414,0.22716170100246572,0.0,-0.05687804518514167
current,Current mechanism,2017-05-26,2017-05-01,140.0,135.0,122.80680806009806,118.09981847380574,7905.0,6915.0,-20.09266493952238,-22.111062995533203,0.41563885950929147,0.0003662196446034138,0.0003662196446034138,0.0,0.0,0.0,1.047483533399964,0.5020443193092021,0.03743912552901626,0.002103514960868998,0.0,0.025731358049001226,0.0,0.0,0.015,0.03,7765.0,6780.0,0.4236417592451681,0.5763582407548319,137.11820879622584,137.11820879622584,17.024312973334535,0.22716170100246572,0.22716170100246572,0.28795386990678945
current,Current mechanism,2017-06-10,2017-06-01,-180.0,-175.0,-152.71745819332847,-146.5971826938568,7725.0,6740.0,13.21767634900587,12.925073209269954,-0.6685192324293691,-0.0005890326905426357,0.0,0.0005890326905426357,0.018810312935720313,0.004620532546517122,0.8792992248500671,0.4214359144874517,0.1010335848619943,0.0056765657398359865,0.003888278594742274,0.019382711704686358,0.0,0.0,0.015,0.03,7905.0,6915.0,0.4216406489133761,0.5783593510866238,-177.10820324456688,177.10820324456688,27.930463617584202,0.22716170100246572,0.0,0.05510398170306874
current,Current mechanism,2017-06-24,2017-06-01,-250.0,-240.0,-212.4536631141341,-204.0489155874226,7475.0,6500.0,46.798710330170024,44.998635659066366,-1.333477801491084,-0.0011749280784889883,0.0,0.0011749280784889883,0.23104155545649252,0.056752645755161354,0.5363378247753251,0.25705927546671203,0.1731895797311851,0.009730645865347873,0.005271324994718719,0.01493865926366595,0.0,0.0,0.015,0.03,7725.0,6740.0,0.4216406489133761,0.5783593510866238,-244.21640648913376,244.21640648913376,36.62370770059543,0.22716170100246572,0.22716170100246572,-0.02762452342093593
current,Current mechanism,2017-07-07,2017-07-01,0.0,0.0,0.0,0.0,7475.0,6500.0,32.759097231119014,31.499044961346453,0.0,0.0,0.0,0.0,0.11325577129353957,0.027819950637235906,0.36950661329381373,0.1770993912899134,0.0,0.0,0.0,0.024757863997723263,0.0,0.0,0.0139999999999999,0.03,7475.0,6500.0,0.4175082846772921,0.5824917153227079,0.0,0.0,0.0,0.2586350012523471,0.0,0.08046039743122552
current,Current mechanism,2017-07-22,2017-07-01,75.0,75.0,58.87712254304824,56.77520735347152,7550.0,6575.0,6.808490604831547,3.8245388264140416,0.13571803112987035,0.00011958123738799523,0.00011958123738799523,0.0,0.0029390211683006373,0.0007219360469675169,0.08292920427429526,0.03974681661639548,0.03922388210851961,0.0022037913993126533,0.0,0.031631307311563384,0.0,0.0,0.0139999999999999,0.03,7475.0,6500.0,0.4175082846772921,0.5824917153227079,75.0,75.0,17.34722564119116,0.2586350012523471,0.2586350012523471,0.0865741899888888
current,Current mechanism,2017-08-05,2017-08-01,175.0,165.0,155.64164170591567,149.67490845980117,7725.0,6740.0,-14.592414870702243,-12.647914361708985,0.6706580980870174,0.000590917246336873,0.000590917246336873,0.0,0.0,0.0,0.2989994798832005,0.1433063008298857,0.037624851964557025,0.002113949989205493,0.0,0.022141915118094366,0.0,0.0,0.018,0.03,7550.0,6575.0,0.419920505026888,0.580079494973112,169.19920505026886,169.19920505026886,17.018742952398583,0.019804152032749777,0.0,0.16788040498912907
current,Current mechanism,2017-08-18,2017-08-01,0.0,0.0,0.0,0.0,7725.0,6740.0,-10.214690409491569,-8.853540053196289,0.0,0.0,0.0,0.0,0.0,0.0,0.1773581042916371,0.08500527779568098,0.0,0.0,0.0,0.015499340582666055,0.0,0.0,0.018,0.03,7725.0,6740.0,0.419920505026888,0.580079494973112,0.0,0.0,0.0,0.019804152032749777,0.019804152032749777,0.032860376054064465
current,Current mechanism,2017-09-01,2017-09-01,0.0,0.0,-89.327884905606,-85.80600431000003,7725.0,6740.0,-96.4781681922501,-92.00348234723744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9839023255290118,0.05528049153231537,0.0,0.010849538407866238,0.0,0.0,0.016,0.03,7725.0,6740.0,0.417678148350647,0.582321851649353,0.0,0.0,87.27701687588481,0.04279408611558432,0.0,0.1639837209215019
current,Current mechanism,2017-09-16,2017-09-01,95.0,95.0,106.69012757483448,102.533700738985,7820.0,6835.0,-55.84459015974059,-56.8687369040812,0.20299139339338007,0.00017885583661220105,0.00017885583661220105,0.0,0.0,0.0,0.13305350157154516,0.06377069662505737,0.011464248468127396,0.0006441180937609126,0.0012775847227885415,0.007594676885506366,0.0,0.0,0.016,0.03,7725.0,6740.0,0.417678148350647,0.582321851649353,95.0,95.0,9.269749403537551,0.04279408611558432,0.0,0.05791819057217542
current,Current mechanism,2017-09-30,2017-09-01,210.0,195.0,222.48869776317963,213.8464013029109,8030.0,7030.0,-26.602515348638775,-20.961714529945937,0.8797895078779977,0.0007751830550234923,0.0007751830550234923,0.0,0.0,0.0,0.4153293204777994,0.1990615788599827,0.03564376621962455,0.0020026428086999,0.0021692405502051772,0.005316273819854456,0.0,0.0,0.016,0.03,7820.0,6835.0,0.417678148350647,0.582321851649353,201.2651722252597,201.2651722252597,16.190927460673585,0.04279408611558432,0.04279408611558432,0.2289261134485009
current,Current mechanism,2017-10-19,2017-10-01,0.0,0.0,0.0,0.0,8030.0,7030.0,-18.62176074404714,-14.673200170962154,0.0,0.0,0.0,0.0,0.0,0.0,0.2509296257489305,0.12026708691518129,0.0,0.0,0.0,0.003721391673898119,0.0,0.0,0.019,0.03,8030.0,7030.0,0.4149379069850193,0.5850620930149806,0.0,0.0,0.0,0.0348383214519234,0.0348383214519234,0.0476279912001423
current,Current mechanism,2017-11-03,2017-11-01,150.0,150.0,113.59826254769231,109.39169958985336,8180.0,7180.0,-49.43696997314068,-50.87954052982015,0.4662835739998551,0.0004108427324534587,0.0004108427324534587,0.0,0.0,0.0,0.3317079826944733,0.1589830322589787,0.19650116160686837,0.011040405656585999,0.0,0.002604974171728683,0.0,0.0,0.017,0.03,8030.0,7030.0,0.4178427787934186,0.5821572212065813,150.0,150.0,38.85061845467374,0.006822475470572363,0.0,0.16574878638353274
current,Current mechanism,2017-11-17,2017-11-01,265.0,250.0,227.33789008907308,218.5419250624712,8445.0,7430.0,-72.2679888921254,-67.0737533084029,1.2987303572584885,0.0011443120848526821,0.0011443120848526821,0.0,0.0,0.0,0.6299169949807356,0.3019104729407218,0.1501114015090888,0.008433999844004324,0.0,0.001823481920210078,0.0,0.0,0.017,0.03,8180.0,7180.0,0.4178427787934186,0.5821572212065813,256.26764168190124,256.26764168190124,34.05038615054502,0.006822475470572363,0.0,0.34645979229138535
