variable,x_value,alpha_target,f_gasoline,f_diesel,S_gasoline_lag,prev_u_gasoline,cpi_yoy,alpha_fitted,residual
S_gasoline_lag,32.608641079370024,0.96,167.8326286565802,161.24135002256978,32.608641079370024,0.0,0.018,0.9581329114733359,-0.0018670885266640624
S_gasoline_lag,33.35693568371237,0.96,167.8326286565802,161.24135002256978,33.35693568371237,0.0,0.018,0.9592918042297633,-0.0007081957702366193
S_gasoline_lag,34.10523028805471,0.96,167.8326286565802,161.24135002256978,34.10523028805471,0.0,0.018,0.9604506969861909,0.0004506969861909349
S_gasoline_lag,34.853524892397054,0.96,167.8326286565802,161.24135002256978,34.853524892397054,0.0,0.018,0.9616095897426185,0.001609589742618489
S_gasoline_lag,35.6018194967394,0.96,167.8326286565802,161.24135002256978,35.6018194967394,0.0,0.018,0.962768482499046,0.0027684824990460433
S_gasoline_lag,36.35011410108174,0.96,167.8326286565802,161.24135002256978,36.35011410108174,0.0,0.018,0.9639273752554736,0.0039273752554735974
S_gasoline_lag,37.098408705424085,0.97,167.8326286565802,161.24135002256978,37.098408705424085,0.0,0.018,0.9650862680119011,-0.004913731988098857
S_gasoline_lag,37.84670330976643,0.97,167.8326286565802,161.24135002256978,37.84670330976643,0.0,0.018,0.9662451607683287,-0.003754839231671303
S_gasoline_lag,38.59499791410877,0.97,167.8326286565802,161.24135002256978,38.59499791410877,0.0,0.018,0.9674040535247562,-0.002595946475243749
S_gasoline_lag,39.34329251845112,0.97,167.8326286565802,161.24135002256978,39.34329251845112,0.0,0.018,0.9685629462811838,-0.0014370537188161947
S_gasoline_lag,40.09158712279346,0.97,167.8326286565802,161.24135002256978,40.09158712279346,0.0,0.018,0.9697218390376113,-0.0002781609623886405
prev_u_gasoline,-393.4071035992978,0.88,167.8326286565802,161.24135002256978,15.25615638306887,-393.4071035992978,0.018,0.8792527762473257,-0.0007472237526743308
prev_u_gasoline,-384.393938626157,0.88,167.8326286565802,161.24135002256978,15.25615638306887,-384.393938626157,0.018,0.8804442643436369,0.00044426434363686873
prev_u_gasoline,-375.38077365301626,0.88,167.8326286565802,161.24135002256978,15.25615638306887,-375.38077365301626,0.018,0.8816357524399481,0.0016357524399480683
prev_u_gasoline,-366.3676086798755,0.88,167.8326286565802,161.24135002256978,15.25615638306887,-366.3676086798755,0.018,0.8828272405362592,0.002827240536259157
prev_u_gasoline,-357.3544437067347,0.88,167.8326286565802,161.24135002256978,15.25615638306887,-357.3544437067347,0.018,0.8840187286325704,0.004018728632570356
prev_u_gasoline,-348.3412787335939,0.89,167.8326286565802,161.24135002256978,15.25615638306887,-348.3412787335939,0.018,0.8852102167288816,-0.004789783271118453
prev_u_gasoline,-339.3281137604532,0.89,167.8326286565802,161.24135002256978,15.25615638306887,-339.3281137604532,0.018,0.8864017048251926,-0.0035982951748073644
prev_u_gasoline,-330.3149487873124,0.89,167.8326286565802,161.24135002256978,15.25615638306887,-330.3149487873124,0.018,0.8875931929215038,-0.002406807078496165
prev_u_gasoline,-321.30178381417164,0.89,167.8326286565802,161.24135002256978,15.25615638306887,-321.30178381417164,0.018,0.8887846810178149,-0.0012153189821850763
prev_u_gasoline,-312.2886188410308,0.89,167.8326286565802,161.24135002256978,15.25615638306887,-312.2886188410308,0.018,0.8899761691141261,-2.3830885873876717e-05
prev_u_gasoline,-303.27545386789006,0.89,167.8326286565802,161.24135002256978,15.25615638306887,-303.27545386789006,0.018,0.8911676572104373,0.0011676572104373228
prev_u_gasoline,-294.2622888947493,0.89,167.8326286565802,161.24135002256978,15.25615638306887,-294.2622888947493,0.018,0.8923591453067484,0.0023591453067484114
prev_u_gasoline,-285.24912392160854,0.89,167.8326286565802,161.24135002256978,15.25615638306887,-285.24912392160854,0.018,0.8935506334030596,0.003550633403059611
prev_u_gasoline,-276.2359589484678,0.9,167.8326286565802,161.24135002256978,15.25615638306887,-276.2359589484678,0.018,0.8947421214993707,-0.005257878500629309
prev_u_gasoline,-267.222793975327,0.9,167.8326286565802,161.24135002256978,15.25615638306887,-267.222793975327,0.018,0.8959336095956819,-0.00406639040431811
prev_u_gasoline,-258.20962900218626,0.9,167.8326286565802,161.24135002256978,15.25615638306887,-258.20962900218626,0.018,0.8971250976919931,-0.0028749023080069103
prev_u_gasoline,-249.19646402904547,0.9,167.8326286565802,161.24135002256978,15.25615638306887,-249.19646402904547,0.018,0.8983165857883042,-0.0016834142116958217
prev_u_gasoline,-240.1832990559047,0.9,167.8326286565802,161.24135002256978,15.25615638306887,-240.1832990559047,0.018,0.8995080738846154,-0.0004919261153846222
prev_u_gasoline,-231.17013408276392,0.9,167.8326286565802,161.24135002256978,15.25615638306887,-231.17013408276392,0.018,0.9006995619809266,0.0006995619809265774
prev_u_gasoline,-222.1569691096232,0.9,167.8326286565802,161.24135002256978,15.25615638306887,-222.1569691096232,0.018,0.9018910500772377,0.001891050077237666
prev_u_gasoline,-213.1438041364824,0.9,167.8326286565802,161.24135002256978,15.25615638306887,-213.1438041364824,0.018,0.9030825381735489,0.0030825381735488655
prev_u_gasoline,-204.1306391633416,0.9,167.8326286565802,161.24135002256978,15.25615638306887,-204.1306391633416,0.018,0.90427402626986,0.004274026269859954
prev_u_gasoline,-195.11747419020085,0.91,167.8326286565802,161.24135002256978,15.25615638306887,-195.11747419020085,0.018,0.9054655143661712,-0.004534485633828855
prev_u_gasoline,-186.1043092170601,0.91,167.8326286565802,161.24135002256978,15.25615638306887,-186.1043092170601,0.018,0.9066570024624824,-0.0033429975375176557
prev_u_gasoline,-177.0911442439193,0.91,167.8326286565802,161.24135002256978,15.25615638306887,-177.0911442439193,0.018,0.9078484905587935,-0.002151509441206567
prev_u_gasoline,-168.07797927077854,0.91,167.8326286565802,161.24135002256978,15.25615638306887,-168.07797927077854,0.018,0.9090399786551047,-0.0009600213448953676
prev_u_gasoline,-159.06481429763778,0.91,167.8326286565802,161.24135002256978,15.25615638306887,-159.06481429763778,0.018,0.9102314667514159,0.00023146675141583195
prev_u_gasoline,-150.05164932449702,0.91,167.8326286565802,161.24135002256978,15.25615638306887,-150.05164932449702,0.018,0.911422954847727,0.0014229548477269205
prev_u_gasoline,-141.03848435135623,0.91,167.8326286565802,161.24135002256978,15.25615638306887,-141.03848435135623,0.018,0.9126144429440382,0.00261444294403812
prev_u_gasoline,-132.02531937821544,0.91,167.8326286565802,161.24135002256978,15.25615638306887,-132.02531937821544,0.018,0.9138059310403492,0.0038059310403492086
prev_u_gasoline,-123.01215440507468,0.92,167.8326286565802,161.24135002256978,15.25615638306887,-123.01215440507468,0.018,0.9149974191366604,-0.005002580863339601
prev_u_gasoline,-113.99898943193392,0.92,167.8326286565802,161.24135002256978,15.25615638306887,-113.99898943193392,0.018,0.9161889072329716,-0.003811092767028401
prev_u_gasoline,-104.98582445879316,0.92,167.8326286565802,161.24135002256978,15.25615638306887,-104.98582445879316,0.018,0.9173803953292827,-0.0026196046707173126
