variable,x_value,alpha_target,f_diesel,S_diesel_lag,prev_u_diesel,alpha_fitted,residual
f_diesel,-44.2270756118109,0.88,-44.2270756118109,18.398814096729858,0.0,0.8590876447820406,-0.020912355217959422
f_diesel,-35.089925904527206,0.84,-35.089925904527206,18.398814096729858,0.0,0.8392029973311339,-0.0007970026688660647
f_diesel,-25.95277619724351,0.78,-25.95277619724351,18.398814096729858,0.0,0.8134815373841576,0.0334815373841576
f_diesel,-16.815626489959868,0.65,-16.815626489959868,18.398814096729858,0.0,0.7770034672631547,0.1270034672631547
f_diesel,-7.678476782676171,0.21,-7.678476782676171,18.398814096729858,0.0,0.7136327792560311,0.5036327792560311
S_diesel_lag,0.2681327931275753,1.0,-189.6978065082755,0.2681327931275753,0.0,1.0,0.0
S_diesel_lag,0.9138478645691102,1.0,-189.6978065082755,0.9138478645691102,0.0,1.0,0.0
S_diesel_lag,1.559562936010645,1.0,-189.6978065082755,1.559562936010645,0.0,1.0,0.0
S_diesel_lag,2.20527800745218,1.0,-189.6978065082755,2.20527800745218,0.0,1.0,0.0
S_diesel_lag,2.8509930788937146,1.0,-189.6978065082755,2.8509930788937146,0.0,1.0,0.0
S_diesel_lag,3.496708150335249,1.0,-189.6978065082755,3.496708150335249,0.0,1.0,0.0
S_diesel_lag,4.1424232217767845,1.0,-189.6978065082755,4.1424232217767845,0.0,1.0,0.0
S_diesel_lag,4.78813829321832,1.0,-189.6978065082755,4.78813829321832,0.0,1.0,0.0
S_diesel_lag,5.433853364659854,1.0,-189.6978065082755,5.433853364659854,0.0,1.0,0.0
S_diesel_lag,6.079568436101389,1.0,-189.6978065082755,6.079568436101389,0.0,1.0,0.0
S_diesel_lag,6.725283507542924,1.0,-189.6978065082755,6.725283507542924,0.0,1.0,0.0
S_diesel_lag,7.370998578984459,1.0,-189.6978065082755,7.370998578984459,0.0,1.0,0.0
S_diesel_lag,8.016713650425993,1.0,-189.6978065082755,8.016713650425993,0.0,1.0,0.0
S_diesel_lag,8.662428721867528,1.0,-189.6978065082755,8.662428721867528,0.0,1.0,0.0
S_diesel_lag,9.308143793309064,1.0,-189.6978065082755,9.308143793309064,0.0,1.0,0.0
S_diesel_lag,9.9538588647506,1.0,-189.6978065082755,9.9538588647506,0.0,1.0,0.0
S_diesel_lag,10.599573936192131,1.0,-189.6978065082755,10.599573936192131,0.0,1.0,0.0
S_diesel_lag,11.245289007633668,1.0,-189.6978065082755,11.245289007633668,0.0,0.9991142837362129,-0.0008857162637870841
S_diesel_lag,11.891004079075202,1.0,-189.6978065082755,11.891004079075202,0.0,0.9979193341961038,-0.002080665803896209
S_diesel_lag,12.536719150516738,0.99,-189.6978065082755,12.536719150516738,0.0,0.9967243846559947,0.006724384655994675
S_diesel_lag,13.182434221958273,0.99,-189.6978065082755,13.182434221958273,0.0,0.9955294351158855,0.00552943511588555
S_diesel_lag,13.828149293399807,0.99,-189.6978065082755,13.828149293399807,0.0,0.9943344855757764,0.004334485575776426
S_diesel_lag,14.473864364841342,0.99,-189.6978065082755,14.473864364841342,0.0,0.9931395360356673,0.0031395360356673008
S_diesel_lag,15.119579436282876,0.99,-189.6978065082755,15.119579436282876,0.0,0.9919445864955582,0.001944586495558176
S_diesel_lag,15.76529450772441,0.99,-189.6978065082755,15.76529450772441,0.0,0.990749636955449,0.0007496369554490512
S_diesel_lag,16.411009579165945,0.99,-189.6978065082755,16.411009579165945,0.0,0.9895546874153399,-0.0004453125846600736
S_diesel_lag,17.056724650607478,0.99,-189.6978065082755,17.056724650607478,0.0,0.9883597378752308,-0.0016402621247691984
S_diesel_lag,17.702439722049014,0.98,-189.6978065082755,17.702439722049014,0.0,0.9871647883351217,0.007164788335121686
S_diesel_lag,18.34815479349055,0.98,-189.6978065082755,18.34815479349055,0.0,0.9859698387950125,0.005969838795012561
S_diesel_lag,18.993869864932083,0.98,-189.6978065082755,18.993869864932083,0.0,0.9847748892549034,0.004774889254903436
S_diesel_lag,19.63958493637362,0.98,-189.6978065082755,19.63958493637362,0.0,0.9835799397147943,0.0035799397147943113
S_diesel_lag,20.285300007815152,0.98,-189.6978065082755,20.285300007815152,0.0,0.9823849901746852,0.0023849901746851865
S_diesel_lag,20.93101507925669,0.98,-189.6978065082755,20.93101507925669,0.0,0.981190040634576,0.0011900406345760617
S_diesel_lag,21.576730150698225,0.98,-189.6978065082755,21.576730150698225,0.0,0.9799950910944669,-4.908905533063113e-06
S_diesel_lag,22.22244522213976,0.98,-189.6978065082755,22.22244522213976,0.0,0.9788001415543578,-0.001199858445642188
S_diesel_lag,22.86816029358129,0.98,-189.6978065082755,22.86816029358129,0.0,0.9776051920142488,-0.0023948079857512017
S_diesel_lag,23.513875365022827,0.97,-189.6978065082755,23.513875365022827,0.0,0.9764102424741397,0.006410242474139682
