date,weighted_oil_mean,filtered_oil_price,exchange_rate,previous_actual,theory_price,delta_p_theory,carry_before,stacked_change,delta_p_rule,carry_after,actual_change,actual_after,is_changed,is_special_regulated,rule_error,abs_rule_error
2019-10-08,58.377122,58.377122,7.1422,8390.0,8234.15512088922,-155.8448791107803,0.0,-155.8448791107803,-155.8448791107803,0.0,0,8390,False,False,-155.8448791107803,155.8448791107803
2019-10-22,58.86086,58.86086,7.0761,8390.0,8229.938984938919,-160.06101506108098,0.0,-160.06101506108098,-160.06101506108098,0.0,-150,8240,True,False,-10.06101506108098,10.06101506108098
2019-11-05,60.52311400000001,60.52311400000001,7.0082,8240.0,8303.983991751713,63.98399175171289,0.0,63.98399175171289,63.98399175171289,0.0,105,8345,True,False,-41.01600824828711,41.01600824828711
2019-11-19,61.977304,61.977304,7.0263,8345.0,8413.444476024717,68.444476024717,0.0,68.444476024717,68.444476024717,0.0,70,8415,True,False,-1.5555239752829948,1.5555239752829948
2019-12-03,63.09498400000001,63.09498400000001,7.0609,8415.0,8510.551133608697,95.55113360869655,0.0,95.55113360869655,95.55113360869655,0.0,55,8470,True,False,40.551133608696546,40.551133608696546
2019-12-16,65.50171399999999,65.50171399999999,6.9921,8470.0,8631.37191761537,161.37191761536997,0.0,161.37191761536997,161.37191761536997,0.0,0,8470,False,False,161.37191761536997,161.37191761536997
2019-12-31,67.545908,67.545908,6.9618,8470.0,8749.864809553208,279.86480955320803,0.0,279.86480955320803,279.86480955320803,0.0,235,8705,True,False,44.86480955320803,44.86480955320803
2020-01-14,66.676,66.676,6.8837,8705.0,8640.88348465872,-64.11651534128032,0.0,-64.11651534128032,-64.11651534128032,0.0,0,8705,False,False,-64.11651534128032,64.11651534128032
2020-02-05,57.093948000000005,57.093948000000005,6.972,8705.0,8051.459713190075,-653.5402868099254,0.0,-653.5402868099254,-653.5402868099254,0.0,-420,8285,True,False,-233.54028680992542,233.54028680992542
2020-02-19,55.66605200000001,55.66605200000001,6.9975,8285.0,7968.870662986573,-316.1293370134272,0.0,-316.1293370134272,-316.1293370134272,0.0,-415,7870,True,False,98.87066298657282,98.87066298657282
2020-03-03,52.721386,52.721386,6.9579,7870.0,7749.301621786935,-120.69837821306464,0.0,-120.69837821306464,-120.69837821306464,0.0,0,7870,False,False,-120.69837821306464,120.69837821306464
