scenario,date,month,alpha_gasoline,alpha_diesel,optimal_u_gasoline,optimal_u_diesel,optimal_price_gasoline,optimal_price_diesel,S_gasoline,S_diesel,LC,LF,LV,Lpi,LE,total_loss,f_gasoline,f_diesel,u_hist_gasoline,u_hist_diesel,historical_alpha_gasoline,historical_alpha_diesel,gasoline_price_after,diesel_price_after,grid_step
equal_weight,2020-11-06,2020-11-01,0.0,0.0,-0.0,-0.0,12356.462270670683,11418.669278091707,-250.1690366528524,-239.8847195794075,0.0,0.0,0.0,0.0,0.0,0.0,-153.7246146138079,-147.30741572421147,-160,-150,1.0408222547960673,1.0182786743121581,6765,5840,0.05
equal_weight,2020-11-20,2020-11-01,0.0,0.0,0.0,0.0,12356.462270670683,11418.669278091707,-21.81181764342088,-20.55484567848376,0.0,0.0,0.0,0.0,0.0,0.0,153.3065080135758,147.36445802710148,150,145,0.9784320440376673,0.9839550319069023,6915,5985,0.05
equal_weight,2020-12-04,2020-12-01,0.75,0.75,160.1095383869623,153.88883180547847,12516.571809057645,11572.558109897185,38.10157377859281,36.90788529355419,0.00017512393131721547,0.0416067894154819,0.17328750014104435,0.0,0.0,0.0430138826975687,213.47938451594973,205.1851090739713,250,240,1.1710732657715794,1.1696755241311279,7165,6225,0.05
equal_weight,2020-12-18,2020-12-01,1.0,1.0,195.1856988210868,187.661899803128,12711.757507878732,11760.220009700313,26.67110164501497,25.83551970548794,0.0002535901856412872,0.02038732681358614,0.15268350436745476,0.0,0.0,0.03466488427333644,195.1856988210868,187.661899803128,155,150,0.7941155573189702,0.7993098234503739,7320,6375,0.05
equal_weight,2021-01-01,2021-01-01,1.0,1.0,79.82331370276422,76.83283860650278,12791.580821581496,11837.052848306816,18.669771151510474,18.08486379384155,4.105786691645729e-05,0.00997295147503062,0.06283067397293882,0.0,0.0,0.01456893666297718,79.82331370276422,76.83283860650278,90,85,1.1274901507488202,1.1062977958594646,7410,6460,0.05
equal_weight,2021-01-16,2021-01-01,0.9,0.9,160.83214920955078,154.62805701479982,12952.412970791047,11991.680905321615,30.939078607118518,29.840299879555715,0.00016436539249564338,0.0272661407833067,0.11992470891643825,0.0,0.0,0.02947104301844812,178.70238801061197,171.80895223866645,185,180,1.0352407825071372,1.047675325730146,7595,6640,0.05
equal_weight,2021-01-30,2021-01-01,1.0,1.0,64.92838574516259,62.53537219934742,13017.34135653621,12054.216277520962,21.657355024982962,20.888209915689004,2.616185867128922e-05,0.013360408983820283,0.04268471068861715,0.0,0.0,0.011214256306221745,64.92838574516259,62.53537219934742,75,70,1.1551188149720446,1.119366488726687,7670,6710,0.05
equal_weight,2021-02-19,2021-02-01,0.85,0.85,314.539331839734,302.3197557297376,13331.880688375944,12356.536033250699,70.66708943038236,67.97229206975953,0.0006064309449570506,0.14185054080089674,0.5644233902201734,0.0,0.9006380480820062,0.32150368200960666,370.0462727526283,355.67030085851485,275,265,0.7431503037562937,0.7450720494805009,7945,6975,0.05
equal_weight,2021-03-04,2021-03-01,1.0,1.0,183.93358460066543,176.87991666713998,13515.81427297661,12533.415949917839,49.46696260126765,47.58060444883168,0.00019784981169211234,0.06956008819210682,0.1809947903539087,0.0,0.42119588919000256,0.13438972350954204,183.93358460066543,176.87991666713998,260,250,1.4135537050750187,1.413388273302166,8205,7225,0.05
equal_weight,2021-03-18,2021-03-01,1.0,1.0,222.2730440075333,213.7317563353564,13738.087316984143,12747.147706253196,34.62687382088737,33.30642311418217,0.0002809384479946379,0.03408444321413234,0.19764683748728856,0.0,0.1927031267745184,0.0849430691847868,222.2730440075333,213.7317563353564,235,230,1.0572582071267056,1.0761152387627315,8440,7455,0.05
equal_weight,2021-04-01,2021-04-01,0.0,0.0,-0.0,-0.0,13738.087316984143,12747.147706253196,-172.39335066293748,-165.56885257688708,0.0,0.0,0.1406545599793727,0.0,0.08524540000004949,0.04517999199588445,-196.63216233755864,-188.8833487568146,-225,-220,1.1442685536547286,1.1647400443077054,8215,7235,0.05
equal_weight,2021-04-15,2021-04-01,0.0,0.0,-0.0,-0.0,13738.087316984143,12747.147706253196,-212.07569894806593,-203.58153143271596,0.0,0.0,0.0,0.0,0.03574372264694255,0.00714874452938851,-91.40035348400971,-87.68333462889503,0,0,-0.0,-0.0,8215,7235,0.05
equal_weight,2021-04-29,2021-04-01,0.0,0.0,0.0,0.0,13738.087316984143,12747.147706253196,-25.534964005202028,-24.272313473329447,0.0,0.0,0.0,0.0,0.013694726880388116,0.0027389453760776235,122.91802525844412,118.23475852957172,100,95,0.8135503299027356,0.8034862267362735,8315,7330,0.05
equal_weight,2021-05-15,2021-05-01,0.7,0.7,92.16165008691992,88.62200748753361,13830.248967071064,12835.769713740729,21.62337523360999,20.990240920469503,4.666960356318952e-05,0.01340742912280159,0.05744115177536532,0.0,0.004435497250304025,0.015066149550406827,131.65950012417133,126.60286783933373,100,100,0.75953501194891,0.789871522712311,8415,7430,0.05
equal_weight,2021-05-28,2021-05-01,0.0,0.0,0.0,0.0,13830.248967071064,12835.769713740729,15.136362663526993,14.69316864432865,0.0,0.00656964027017278,0.024183770070405466,0.0,0.000979819538432128,0.006346645975802075,0.0,0.0,0,0,,,8415,7430,0.05
equal_weight,2021-06-12,2021-06-01,0.85,0.85,150.08954088485496,144.48354528208733,13980.33850795592,12980.253259022817,37.08184343238449,35.78231427728076,0.00012224937220821594,0.03919037845473641,0.1525116387906056,0.0,4.3478824423410974e-05,0.03837354908839473,176.57593045277054,169.98064150833804,175,170,0.9910750550840673,1.000113886449011,8590,7600,0.05
equal_weight,2021-06-29,2021-06-01,0.95,0.95,246.0182412367777,236.5555898363808,14226.356749192697,13216.808848859197,38.905618888815326,37.49791419601135,0.0003209250063960918,0.04308773686678181,0.26312576390314024,0.0,0.0,0.06130688515526363,258.9665697229239,249.0058840382956,225,215,0.8688380134962371,0.8634334117459421,8815,7815,0.05
equal_weight,2021-07-13,2021-07-01,1.0,1.0,85.86834522121163,82.61064760815742,14312.225094413909,13299.419496467353,27.23393322217072,26.248539937207937,3.772394990695113e-05,0.021100371545503212,0.10188689748814347,0.0,0.0,0.02460499859671073,85.86834522121163,82.61064760815742,70,65,0.815201455433524,0.7868235134568967,8885,7880,0.05
equal_weight,2021-07-27,2021-07-01,0.0,0.0,-0.0,-0.0,14312.225094413909,13299.419496467353,-77.65654014516072,-74.52143452780376,0.0,0.0,0.02100485213177953,0.0,0.0,0.004200970426355906,-96.72029340068022,-92.89541248384931,-100,-95,1.033909187865395,1.022655451543601,8785,7785,0.05
equal_weight,2021-08-09,2021-08-01,0.0,0.0,0.0,0.0,14312.225094413909,13299.419496467353,-54.3595781016125,-52.165004169462634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,8785,7785,0.05
equal_weight,2021-08-24,2021-08-01,0.0,0.0,-0.0,-0.0,14312.225094413909,13299.419496467353,-323.8282494177161,-311.02541561066226,0.0,0.0,0.0,0.0,0.0,0.0,-285.7765447465874,-274.5099126920384,-250,-245,0.874809373252405,0.8924996463601502,8535,7540,0.05
equal_weight,2021-09-07,2021-09-01,0.0,0.0,0.0,0.0,14312.225094413909,13299.419496467353,-133.6428524215448,-128.18993308755847,0.0,0.0,0.0,0.0,0.0,0.0,93.03692217085646,89.52785783990511,140,140,1.504778927906695,1.5637590731853523,8675,7680,0.05
equal_weight,2021-09-19,2021-09-01,0.15,0.15,16.98380877607277,16.34022456065833,14329.208903189981,13315.759721028011,2.691586369331013,2.8616526824396225,1.4587844746568066e-06,0.0002291288460649831,0.001951746956843239,0.0,0.0,0.0004364669174765758,113.22539184048514,108.93483040438888,90,85,0.7948747055500971,0.7802830342183691,8765,7765,0.05
equal_weight,2021-10-10,2021-10-01,0.8,0.8,305.87806444056076,294.04556262776026,14635.086967630543,13609.80528365577,78.35362656867187,75.51454753464782,0.0004724558982845021,0.17497763837872837,0.6038100290610774,0.0,0.0,0.15585202466761805,382.3475805507009,367.55695328470034,345,330,0.9023203429274781,0.897820044080054,9110,8095,0.05
equal_weight,2021-10-23,2021-10-01,1.0,1.0,198.07239094473752,191.03515178364552,14833.15935857528,13800.840435439417,54.847538598070315,52.86018327425347,0.00019044562535265244,0.0857390428055769,0.18699698130042017,0.0,0.0,0.054585293946269944,198.07239094473752,191.03515178364552,300,290,1.5145977618036652,1.51804522514493,9410,8385,0.05
equal_weight,2021-11-05,2021-11-01,0.0,0.0,0.0,0.0,14833.15935857528,13800.840435439417,38.393277018649215,37.00212829197743,0.0,0.0420667757653487,0.11204233140358325,0.0,0.0,0.030821821433786388,0.0,0.0,0,0,,,9410,8385,0.05
equal_weight,2021-11-20,2021-11-01,0.0,0.0,-0.0,-0.0,14833.15935857528,13800.840435439417,-28.43336153153271,-27.2278867248141,0.0,0.0,0.0,0.0,0.0,0.0,-55.30865544458716,-53.1293765291983,-95,-90,1.7176335102772287,1.6939780942194707,9315,8295,0.05
equal_weight,2021-12-04,2021-12-01,0.0,0.0,-0.0,-0.0,14833.15935857528,13800.840435439417,-403.35729768771387,-387.9137554388525,0.0,0.0,0.0,0.0,0.0,0.0,-383.453944615641,-368.8542347314826,-430,-415,1.1213862995489978,1.1251056946712579,8885,7880,0.05
equal_weight,2021-12-18,2021-12-01,0.0,0.0,-0.0,-0.0,14833.15935857528,13800.840435439417,-445.45489069929545,-428.1834960997455,0.0,0.0,0.0,0.0,0.0,0.0,-163.10478231789574,-156.6438672925488,-130,-125,0.7970336501024623,0.7979884700276803,8755,7755,0.05
equal_weight,2022-01-01,2022-01-01,0.0,0.0,0.0,0.0,14833.15935857528,13800.840435439417,-200.7988804345589,-192.81211433333965,0.0,0.0,0.0,0.0,0.0,0.0,111.01954305494792,106.9163329364822,140,135,1.2610392382060924,1.2626695687384077,8895,7890,0.05
equal_weight,2022-01-18,2022-01-01,0.5,0.5,185.9109097497418,178.78763171345426,15019.070268325022,13979.628067152871,45.35169344555058,43.819151680116505,0.00016245778915949016,0.05869387975391535,0.23376181458117765,0.0,0.0,0.058523630424850495,371.8218194994836,357.5752634269085,345,330,0.9278637828850687,0.9228826313021926,9240,8220,0.05
equal_weight,2022-01-30,2022-01-01,0.95,0.95,310.9485275767769,300.19607847222926,15330.018795901799,14279.8241456251,48.11189738961053,46.47319977988309,0.00044488168641609307,0.06603692761546122,0.4250511245824342,0.0,0.0,0.09830658677686231,327.314239554502,315.9958720760308,310,300,0.9471020888731638,0.9493794903998553,9550,8520,0.05
equal_weight,2022-02-18,2022-02-01,1.0,1.0,223.4273430122099,215.9179644789989,15553.446138914009,14495.742110104098,33.67832817272736,32.53123984591815,0.00022052264673205147,0.03235809453157598,0.21828221259054736,0.0,0.0,0.05017216595377108,223.4273430122099,215.9179644789989,210,200,0.9399028658212343,0.9262777207194951,9760,8720,0.05
equal_weight,2022-03-04,2022-03-01,0.95,0.95,215.87089673247024,208.38861073113068,15769.31703564648,14704.130720835228,34.9364558647234,33.73968950957064,0.0002000848759570885,0.03487644501481031,0.18343233875410278,0.0,0.0,0.04370177372897404,227.2325228762845,219.35643234855863,260,255,1.1442024086558928,1.162491554361185,10020,8975,0.05
equal_weight,2022-03-18,2022-03-01,0.85,0.85,660.1985220226871,636.9347571058983,16429.51555766917,15341.065477941127,140.96114063872176,136.01803391068154,0.0018183815766975738,0.5672508124813133,2.2768283271665197,0.0,0.0,0.5691795042449062,776.7041435561025,749.3350083598804,750,720,0.9656186415668663,0.9608519446808073,10770,9695,0.05
equal_weight,2022-04-01,2022-04-01,0.0,0.0,0.0,0.0,16429.51555766917,15341.065477941127,98.67279844710522,95.21262373747707,0.0,0.2784613005982203,1.2451885464980448,0.0,0.004660949655635615,0.30566215935038016,0.0,0.0,110,110,,,10880,9805,0.05
