w_wti,w_brent,w_basket,beta,alpha,pi0,lambda,lambda_factor,price_mae,price_rmse,change_mae,segments_used,rows_used
0.72,0.02,0.26,1820.751832,1.301165073398679,2648.2644167067465,0.0,0.0,210.87515476528694,334.2460734774503,210.87515476528694,18,194
0.54,0.14,0.31999999999999995,1820.751832,1.3029969470433618,2586.5725064940925,0.0,0.0,210.8924636749703,332.67265503515506,210.8924636749703,18,194
0.52,0.08,0.39999999999999997,1820.751832,1.3073464050008556,2569.8194692138595,0.0,0.0,210.89945055155792,329.78853675452433,210.89945055155792,18,194
0.52,0.1,0.38,1820.751832,1.3061390777227142,2572.7993905864046,0.0,0.0,210.90689656980152,330.5940910425466,210.90689656980152,18,194
0.56,0.0,0.43999999999999995,1820.751832,1.3108546702016701,2573.0642005921095,0.0,0.0,210.91930929795797,327.3843775635982,210.91930929795797,18,194
0.52,0.12,0.36,1820.751832,1.3049048386119675,2575.881220878256,0.0,0.0,210.94256726617346,331.43688674147904,210.94256726617346,18,194
0.54,0.02,0.43999999999999995,1820.751832,1.3103153966389343,2568.423839783864,0.0,0.0,210.94273514465922,327.79562232860513,210.94273514465922,18,194
0.52,0.06,0.42,1820.751832,1.308526698773918,2566.941682312809,0.0,0.0,210.9434447470269,329.0199718127344,210.9434447470269,18,194
0.7000000000000001,0.08,0.21999999999999992,1820.751832,1.298583090769534,2648.0860247500073,0.0,0.0,210.94975969677327,336.025896688992,210.94975969677327,18,194
0.56,0.18,0.25999999999999995,1820.751832,1.2995408877517216,2601.5185334901744,0.0,0.0,210.95010454990256,335.11412870436754,210.95010454990256,18,194
0.68,0.12,0.19999999999999996,1820.751832,1.2972034134416026,2645.049817481809,0.0,0.0,210.9606466467951,336.98257876790933,210.9606466467951,18,194
0.54,0.16,0.29999999999999993,1820.751832,1.3016780570786444,2589.9719064854594,0.0,0.0,210.98829940188466,333.6187228994206,210.98829940188466,18,194
0.6,0.2,0.2,1820.751832,1.2962509687599009,2622.358325979606,0.0,0.0,211.004732057199,337.55483308629084,211.004732057199,18,194
0.52,0.04,0.44,1820.751832,1.309679191379347,2564.1680379011696,0.0,0.0,211.01497178270313,328.2884031630689,211.01497178270313,18,194
0.72,0.04,0.24000000000000002,1820.751832,1.2998403402662018,2651.582147315581,0.0,0.0,211.01513968096225,335.2120701156961,211.01513968096225,18,194
0.64,0.18,0.18,1820.751832,1.2954996140102788,2636.6511938063504,0.0,0.0,211.02721110857928,338.19878032596665,211.02721110857928,18,194
0.58,0.2,0.22000000000000003,1820.751832,1.297238262887799,2613.650468603149,0.0,0.0,211.03550077965116,336.80864274754725,211.03550077965116,18,194
0.52,0.14,0.33999999999999997,1820.751832,1.3036421695348128,2579.0711282938464,0.0,0.0,211.03745662776066,332.3175296992271,211.03745662776066,18,194
0.54,0.0,0.45999999999999996,1820.751832,1.3114330104465877,2565.787198175581,0.0,0.0,211.0500085549856,327.1128256321962,211.0500085549856,18,194
0.5,0.1,0.4,1820.751832,1.3066514684284418,2565.8010170295206,0.0,0.0,211.05166372602076,330.3820945297917,211.05166372602076,18,194
